2018-12-01a (0:00:00.0012482): 454
2018-12-01b (0:00:00.0230024): 566
2018-12-02a (0:00:00.011075): 6225
2018-12-02b (0:00:00.0033316): revtaubfniyhsgxdoajwkqilp
2018-12-03a (0:00:00.2982298): 105071
2018-12-03b (0:00:00.2358647): 222
2018-12-04a (0:00:00.0212406): 48680
2018-12-04b (0:00:00.0082237): 94826
2018-12-05a (0:00:00.0145288): 9116
2018-12-05b (0:00:00.2585046): 6890
2018-12-06a (0:00:00.2299483): 3882
2018-12-06b (0:00:00.242559): 43852
2018-12-07a (0:00:00.0099099): CQSWKZFJONPBEUMXADLYIGVRHT
2018-12-07b (0:00:02.4274827): 914
2018-12-08a (0:00:00.0061943): 41028
2018-12-08b (0:00:00.003395): 20849
2018-12-09a (0:00:00.0060349): 398242
2018-12-09b (0:00:01.8289589): 3273842452
2018-12-10a (0:00:00.0001232): KFLBHXGK
2018-12-10b (0:00:00.0000736): 10659
2018-12-11a (0:00:00.0046765): 21,72
2018-12-11b (0:00:17.571297): 242,13,9
2018-12-12a (0:00:00.0213555): 2571
2018-12-12b (0:00:08.5574365): 3100000000655
2018-12-13a (0:00:00.0162275): 39,52
2018-12-13b (0:00:00.0373526): 133,146
2018-12-14a (0:00:00.3373515): 1031816654
2018-12-14b (0:00:00.0001396): 20179839
2018-12-15a (0:00:00.0002906): 246176
2018-12-15b (0:00:00.0000685): 58128
2018-12-16a (0:00:00.0185012): 677
2018-12-16b (0:00:00.0508681): 540
2018-12-17a (0:00:00.085475): 39367
2018-12-17b (0:00:00.0924873): 33061
2018-12-18a (0:00:04.9370269): 539682
2018-12-18b (0:00:00.0000816): 226450
2018-12-19a (0:00:00.6316883): 1824
2018-12-19b (0:00:00.0965213): 21340800
